"No","Title_en","OctetNo","Contents_en","Note_en","Status"
1.00,"Identification template 1.0 - calendar definition","24","Type of calendar","(see Code table 1.6)","Operational"
2.00,"Identification template 1.1 - paleontological offset","24-25","Number of tens of thousands of years of offset",,"Operational"
3.00,"Identification template 1.2 - calendar definition and paleontological offset","24","Type of calendar","(see Code table 1.6)","Operational"
4.00,"Identification template 1.2 - calendar definition and paleontological offset","25-26","Number of tens of thousands of years of offset",,"Operational"
5.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","15","Shape of the Earth","(see Code table 3.2)","Operational"
6.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","16","Scale factor of radius of spherical Earth",,"Operational"
7.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","17-20","Scaled value of radius of spherical Earth",,"Operational"
8.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
9.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
10.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
11.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
12.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","31-34","Ni - number of points along a parallel",,"Operational"
13.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","35-38","Nj - number of points along a meridian",,"Operational"
14.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","39-42","Basic angle of the initial production domain","(see Note 1)","Operational"
15.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","43-46","Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments","(see Note 1)","Operational"
16.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","47-50","La1 - latitude of first grid point","(see Note 1)","Operational"
17.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","51-54","Lo1 - longitude of first grid point","(see Note 1)","Operational"
18.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","55","Resolution and component flags","(see Flag table 3.3)","Operational"
19.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","56-59","La2 - latitude of last grid point","(see Note 1)","Operational"
20.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","60-63","Lo2 - longitude of last grid point","(see Note 1)","Operational"
21.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","64-67","Di - i direction increment","(see Notes 1 and 5)","Operational"
22.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","68-71","Dj - j direction increment","(see Notes 1 and 5)","Operational"
23.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","72","Scanning mode","(flags - see Flag table 3.4)","Operational"
24.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","73-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Notes 2 and 3)","Operational"
25.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","15-72","Same as grid definition template 3.0","(see Note 1)","Operational"
26.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","73-76","Latitude of the southern pole of projection",,"Operational"
27.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","77-80","Longitude of the southern pole of projection",,"Operational"
28.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","81-84","Angle of rotation of projection",,"Operational"
29.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 3)","Operational"
30.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","15-72","Same as grid definition template 3.0","(see Note 1)","Operational"
31.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","73-76","Latitude of the pole of stretching",,"Operational"
32.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","77-80","Longitude of the pole of stretching",,"Operational"
33.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","81-84","Stretching factor",,"Operational"
34.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 3)","Operational"
35.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","15-72","Same as grid definition template 3.0","(see Note 1)","Operational"
36.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","73-76","Latitude of the southern pole of projection",,"Operational"
37.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","77-80","Longitude of the southern pole of projection",,"Operational"
38.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","81-84","Angle of rotation of projection",,"Operational"
39.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","85-88","Latitude of the pole of stretching",,"Operational"
40.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","89-92","Longitude of the pole of stretching",,"Operational"
41.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","93-96","Stretching factor",,"Operational"
42.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","97-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)","Operational"
43.00,"Grid definition template 3.4 - variable resolution latitude/longitude","15","Shape of the Earth","(see Code table 3.2)","Operational"
44.00,"Grid definition template 3.4 - variable resolution latitude/longitude","16","Scale factor of radius of spherical Earth",,"Operational"
45.00,"Grid definition template 3.4 - variable resolution latitude/longitude","17-20","Scaled value of radius of spherical Earth",,"Operational"
46.00,"Grid definition template 3.4 - variable resolution latitude/longitude","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
47.00,"Grid definition template 3.4 - variable resolution latitude/longitude","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
48.00,"Grid definition template 3.4 - variable resolution latitude/longitude","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
49.00,"Grid definition template 3.4 - variable resolution latitude/longitude","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
50.00,"Grid definition template 3.4 - variable resolution latitude/longitude","31-34","Ni - number of points along a parallel",,"Operational"
51.00,"Grid definition template 3.4 - variable resolution latitude/longitude","35-38","Nj - number of points along a meridian",,"Operational"
52.00,"Grid definition template 3.4 - variable resolution latitude/longitude","39-42","Basic angle of the initial production domain","(see Note 1)","Operational"
53.00,"Grid definition template 3.4 - variable resolution latitude/longitude","43-46","Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments","(see Note 1)","Operational"
54.00,"Grid definition template 3.4 - variable resolution latitude/longitude","47","Resolution and component flags","(see Flag table 3.3 and Note 2)","Operational"
55.00,"Grid definition template 3.4 - variable resolution latitude/longitude","48","Scanning mode","(flags - see Flag table 3.4)","Operational"
56.00,"Grid definition template 3.4 - variable resolution latitude/longitude","49-ii","List of longitudes","(see Notes 1 and 3)","Operational"
57.00,"Grid definition template 3.4 - variable resolution latitude/longitude","(ii+1)-jj","List of latitudes","(see Notes 1 and 3)","Operational"
58.00,"Grid definition template 3.5 - variable resolution rotated latitude/longitude","15-48","Same as grid definition template 3.4","(see Note 1)","Operational"
59.00,"Grid definition template 3.5 - variable resolution rotated latitude/longitude","49-52","Latitude of the southern pole of projection","(see Note 4)","Operational"
60.00,"Grid definition template 3.5 - variable resolution rotated latitude/longitude","53-56","Longitude of the southern pole of projection","(see Note 4)","Operational"
61.00,"Grid definition template 3.5 - variable resolution rotated latitude/longitude","57-60","Angle of rotation of projection","(see Note 4)","Operational"
62.00,"Grid definition template 3.5 - variable resolution rotated latitude/longitude","61-ii","List of longitudes","(see Notes 1 and 3)","Operational"
63.00,"Grid definition template 3.5 - variable resolution rotated latitude/longitude","(ii+1)-jj","List of latitudes","(see Notes 1 and 3)","Operational"
64.00,"Grid definition template 3.10 - Mercator","15","Shape of the Earth","(see Code table 3.2)","Operational"
65.00,"Grid definition template 3.10 - Mercator","16","Scale factor of radius of spherical Earth",,"Operational"
66.00,"Grid definition template 3.10 - Mercator","17-20","Scaled value of radius of spherical Earth",,"Operational"
67.00,"Grid definition template 3.10 - Mercator","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
68.00,"Grid definition template 3.10 - Mercator","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
69.00,"Grid definition template 3.10 - Mercator","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
70.00,"Grid definition template 3.10 - Mercator","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
71.00,"Grid definition template 3.10 - Mercator","31-34","Ni - number of points along a parallel",,"Operational"
72.00,"Grid definition template 3.10 - Mercator","35-38","Nj - number of points along a meridian",,"Operational"
73.00,"Grid definition template 3.10 - Mercator","39-42","La1 - latitude of first grid point",,"Operational"
74.00,"Grid definition template 3.10 - Mercator","43-46","Lo1 - longitude of first grid point",,"Operational"
75.00,"Grid definition template 3.10 - Mercator","47","Resolution and component flags","(see Flag table 3.3)","Operational"
76.00,"Grid definition template 3.10 - Mercator","48-51","LaD - latitude(s) at which the Mercator projection intersects the Earth (Latitude(s) where Di and Dj are specified)",,"Operational"
77.00,"Grid definition template 3.10 - Mercator","52-55","La2 - latitude of last grid point",,"Operational"
78.00,"Grid definition template 3.10 - Mercator","56-59","Lo2 - longitude of last grid point",,"Operational"
79.00,"Grid definition template 3.10 - Mercator","60","Scanning mode","(flags - see Flag table 3.4)","Operational"
80.00,"Grid definition template 3.10 - Mercator","61-64","Orientation of the grid, angle between i direction on the map and the Equator","(see Note 1)","Operational"
81.00,"Grid definition template 3.10 - Mercator","65-68","Di - longitudinal direction grid length","(see Note 2)","Operational"
82.00,"Grid definition template 3.10 - Mercator","69-72","Dj - latitudinal direction grid length","(see Note 2)","Operational"
83.00,"Grid definition template 3.10 - Mercator","73-nn","List of number of points along each meridian or parallel","(These octets are only present for quasi-regular grids as described in Notes 2 and 3 of grid definition template 3.1)","Operational"
84.00,"Grid definition template 3.12 - transverse Mercator","15","Shape of the Earth","(see Code table 3.2)","Operational"
85.00,"Grid definition template 3.12 - transverse Mercator","16","Scale factor of radius of spherical Earth",,"Operational"
86.00,"Grid definition template 3.12 - transverse Mercator","17-20","Scaled value of radius of spherical Earth",,"Operational"
87.00,"Grid definition template 3.12 - transverse Mercator","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
88.00,"Grid definition template 3.12 - transverse Mercator","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
89.00,"Grid definition template 3.12 - transverse Mercator","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
90.00,"Grid definition template 3.12 - transverse Mercator","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
91.00,"Grid definition template 3.12 - transverse Mercator","31-34","Ni - number of points along i-axis",,"Operational"
92.00,"Grid definition template 3.12 - transverse Mercator","35-38","Nj - number of points along j-axis",,"Operational"
93.00,"Grid definition template 3.12 - transverse Mercator","39-42","LaR - geographic latitude of reference point",,"Operational"
94.00,"Grid definition template 3.12 - transverse Mercator","43-46","LoR - geographic longitude of reference point",,"Operational"
95.00,"Grid definition template 3.12 - transverse Mercator","47","Resolution and component flags","(see Flag table 3.3)","Operational"
96.00,"Grid definition template 3.12 - transverse Mercator","48-51","m - scale factor at reference point ratio of distance on map to distance on spheroid (IEEE 32-bit floating-point values)",,"Operational"
97.00,"Grid definition template 3.12 - transverse Mercator","52-55","XR - false easting, i-direction coordinate of reference point in units of 10-2 m",,"Operational"
98.00,"Grid definition template 3.12 - transverse Mercator","56-59","YR - false northing, j-direction coordinate of reference point in units of 10-2 m",,"Operational"
99.00,"Grid definition template 3.12 - transverse Mercator","60","Scanning mode","(flags - see Flag table 3.4)","Operational"
100.00,"Grid definition template 3.12 - transverse Mercator","61-64","Di - i-direction increment length in units of  10-2 m",,"Operational"
101.00,"Grid definition template 3.12 - transverse Mercator","65-68","Dj - j-direction increment length in units of 10-2 m",,"Operational"
102.00,"Grid definition template 3.12 - transverse Mercator","69-72","x1 - i-direction coordinate of the first grid point in units of 10-2 m",,"Operational"
103.00,"Grid definition template 3.12 - transverse Mercator","73-76","y1 - j-direction coordinate of the first grid point in units of 10-2 m",,"Operational"
104.00,"Grid definition template 3.12 - transverse Mercator","77-80","x2 - i-direction coordinate of the last grid point in units of 10-2 m",,"Operational"
105.00,"Grid definition template 3.12 - transverse Mercator","81-84","y2 - j-direction coordinate of the last grid point in units of 10-2 m",,"Operational"
