"No","Title_en","OctetNo","Contents_en","Note_en","Status"
3.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","15","Shape of the Earth","(see Code table 3.2)","Operational"
4.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","16","Scale factor of radius of spherical Earth",,"Operational"
5.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","17-20","Scaled value of radius of spherical Earth",,"Operational"
6.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
7.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
8.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
9.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
10.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","31-34","Ni - number of points along a parallel",,"Operational"
11.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","35-38","Nj - number of points along a meridian",,"Operational"
12.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","39-42","Basic angle of the initial production domain","(see Note 1)","Operational"
13.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","43-46","Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments","(see Note 1)","Operational"
14.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","47-50","La1 - latitude of first grid point","(see Note 1)","Operational"
15.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","51-54","Lo1 - longitude of first grid point","(see Note 1)","Operational"
16.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","55","Resolution and component flags","(see Flag table 3.3)","Operational"
17.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","56-59","La2 - latitude of last grid point","(see Note 1)","Operational"
18.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","60-63","Lo2 - longitude of last grid point","(see Note 1)","Operational"
19.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","64-67","Di - i direction increment","(see Note 1)","Operational"
21.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","68-71","Dj - j direction increment","(see Note 1)","Operational"
23.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","72","Scanning mode","(flags - see Flag table 3.4)","Operational"
24.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carree)","73-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Notes 2 and 3)","Operational"
25.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carree)","15-72","Same as Grid definition template 3.0","(see Note 1)","Operational"
26.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carree)","73-76","Latitude of the southern pole of projection",,"Operational"
27.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carree)","77-80","Longitude of the southern pole of projection",,"Operational"
28.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carree)","81-84","Angle of rotation of projection",,"Operational"
29.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carree)","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 3)","Operational"
30.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carree)","15-72","Same as Grid definition template 3.0","(see Note 1)","Operational"
31.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carree)","73-76","Latitude of the pole of stretching",,"Operational"
32.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carree)","77-80","Longitude of the pole of stretching",,"Operational"
33.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carree)","81-84","Stretching factor",,"Operational"
34.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carree)","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 3)","Operational"
