"No","Title_en","SubTitle_en","CodeFlag","Value","MeaningParameterDescription_en","Note_en","UnitComments_en","Status"
1.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"0",,"Meteorological products",,,"Operational"
2.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"1",,"Hydrological products",,,"Operational"
3.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"2",,"Land surface products",,,"Operational"
4.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"3",,"Space products",,,"Operational"
6.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"4-9",,"Reserved",,,"Operational"
8.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"5-9",,"Reserved",,,"Operational"
9.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"10",,"Oceanographic products",,,"Operational"
10.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"11-191",,"Reserved",,,"Operational"
11.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"192-254",,"Reserved for local use",,,"Operational"
12.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"255",,"Missing",,,"Operational"
13.00,"Code table 1.0 - GRIB master tables version number",,"0",,"Experimental",,,"Operational"
14.00,"Code table 1.0 - GRIB master tables version number",,"1",,"Version implemented on 7 November 2001",,,"Operational"
15.00,"Code table 1.0 - GRIB master tables version number",,"2",,"Version implemented on 4 November 2003",,,"Operational"
16.00,"Code table 1.0 - GRIB master tables version number",,"3",,"Version implemented on 2 November 2005",,,"Operational"
17.00,"Code table 1.0 - GRIB master tables version number",,"4",,"Version implemented on 7 November 2007",,,"Operational"
18.00,"Code table 1.0 - GRIB master tables version number",,"5",,"Version implemented on 4 November 2009",,,"Operational"
19.00,"Code table 1.0 - GRIB master tables version number",,"6",,"Version implemented on 15 September 2010",,,"Operational"
20.00,"Code table 1.0 - GRIB master tables version number",,"7",,"Version implemented on 4 May 2011",,,"Operational"
21.00,"Code table 1.0 - GRIB master tables version number",,"8",,"Version implemented on 2 November 2011",,,"Operational"
