Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,UnitComments_en,Status
Type of horizontal line,,0,,Rhumb,,,Operational
Type of horizontal line,,1,,Great circle,,,Operational
Type of horizontal line,,2-191,,Reserved,,,Operational
Type of horizontal line,,192-254,,Reserved for local use,,,Operational
Type of horizontal line,,255,,Missing,,,Operational
