Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",,,76-87   Specification of the outermost (or only) time range over which statistical processing is done,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",76,1,Statistical process used to calculate the processed field from the field at each time increment during the time range,(see Code table 4.10),,4.10,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",77,1,Type of time increment between successive fields used in the statistical processing,(see Code table 4.11),,4.11,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",78,1,Indicator of unit of time for time range over which statistical processing is done,(see Code table 4.4),,4.4,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",79-82,4,Length of the time range over which statistical processing is done in units defined by the previous octet,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",83,1,Indicator of unit of time for the increment between the successive fields used,(see Code table 4.4),,4.4,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",84-87,4,Time increment between successive fields in units defined by the previous octet,(see Notes 3 and 4),"7,110",,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",,,"88-nn   These octets are included only if n > 1, where nn = 75 + 12 x n",,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",88-99,12,"As octets 76 to 87, next innermost step of processing",,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",100-nn,,"Additional time range specifications included in accordance with the value of n. Contents as octets 76 to 87, repeated as necessary",,,,,Operational
