Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",10,,Parameter category,(see Code table 4.1),,4.1,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",11,,Parameter number,(see Code table 4.2),,4.2,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",12,,Tile classification,(see Code table 4.242),,4.242,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",13,,Total number (NT) of tile/attribute pairs,(see Notes 1 and 2),"20,58",,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",14,,Number of used spatial tiles (NUT),(see Notes 1 and 2),"20,58",,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",15,,"Tile index (ITN = {1,…, NUT})",(see Note 1),58,,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",16,,Number of used tile attributes (NAT) for tile ITN,(see Note 1),58,,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",17,,"Attribute of tile (A = {A(1),…, A(NAT(ITN))})",(see Code table 4.241 and Note 1),58,4.241,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",18,,Type of generating process,(see Code table 4.3),,4.3,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",19,,Background generating process identifier (defined by originating centre),,,,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",20,,Analysis or forecast generating process identifier (defined by originating centre),,,,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",21-22,,Hours of observational data cut-off after reference time,(see Note 3),33,,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",23,,Minutes of observational data cut-off after reference time,,,,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",24,,Indicator of unit of time range,(see Code table 4.4),,4.4,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",25-28,,Forecast time in units defined by octet 24,,,,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",29,,Type of first fixed surface,(see Code table 4.5),,4.5,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",30,,Scale factor of first fixed surface,,,,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",31-34,,Scaled value of first fixed surface,,,,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",35,,Type of second fixed surface,(see Code table 4.5),,4.5,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",36,,Scale factor of second fixed surface,,,,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",37-40,,Scaled value of second fixed surface,,,,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",41,,Perturbation number,,,,,Deprecated
"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",42,,Number of forecasts in ensemble,,,,,Deprecated
