Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
spectral data for limited area models - complex packing,12-15,4,Reference value (R) (IEEE 32-bit floating-point value),,,,,Operational
spectral data for limited area models - complex packing,16-17,2,Binary scale factor (E),,,,,Operational
spectral data for limited area models - complex packing,18-19,2,Decimal scale factor (D),,,,,Operational
spectral data for limited area models - complex packing,20,1,Number of bits used for each packed value (field width),,,,,Operational
spectral data for limited area models - complex packing,21,1,Bi-Fourier sub-truncation type,(see Code table 5.25),,5.25,,Operational
spectral data for limited area models - complex packing,22,1,Packing mode for axes,(see Code table 5.26),,5.26,,Operational
spectral data for limited area models - complex packing,23-26,4,P - Laplacian scaling factor (expressed in 10-6 units),,,,,Operational
spectral data for limited area models - complex packing,27-28,2,NS - bi-Fourier resolution parameter of the unpacked subset,(see Note 1),120,,,Operational
spectral data for limited area models - complex packing,29-30,2,MS - bi-Fourier resolution parameter of the unpacked subset,(see Note 1),120,,,Operational
spectral data for limited area models - complex packing,31-34,4,TS - total number of values in the unpacked subset,(see Note 1),120,,,Operational
spectral data for limited area models - complex packing,35,1,Precision of the unpacked subset,(see Code table 5.7),,5.7,,Operational
