Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
Mercator,15,1,Shape of the Earth,(see Code table 3.2),,3.2,,Operational
Mercator,16,1,Scale factor of radius of spherical Earth,,,,,Operational
Mercator,17-20,4,Scaled value of radius of spherical Earth,,,,,Operational
Mercator,21,1,Scale factor of major axis of oblate spheroid Earth,,,,,Operational
Mercator,22-25,4,Scaled value of major axis of oblate spheroid Earth,,,,,Operational
Mercator,26,1,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational
Mercator,27-30,4,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational
Mercator,31-34,4,Ni - number of points along a parallel,,,,,Operational
Mercator,35-38,4,Nj - number of points along a meridian,,,,,Operational
Mercator,39-42,4,La1 - latitude of first grid point,,,,,Operational
Mercator,43-46,4,Lo1 - longitude of first grid point,,,,,Operational
Mercator,47,1,Resolution and component flags,(see Flag table 3.3),,,3.3,Operational
Mercator,48-51,4,LaD - latitude(s) at which the Mercator projection intersects the Earth (Latitude(s) where Di and Dj are specified),,,,,Operational
Mercator,52-55,4,La2 - latitude of last grid point,,,,,Operational
Mercator,56-59,4,Lo2 - longitude of last grid point,,,,,Operational
Mercator,60,1,Scanning mode,(see Flag table 3.4),,,3.4,Operational
Mercator,61-64,4,"Orientation of the grid, angle between i direction on the map and the Equator",(see Note 1),49,,,Operational
Mercator,65-68,4,Di - longitudinal direction grid length,(see Note 2),28,,,Operational
Mercator,69-72,4,Dj - latitudinal direction grid length,(see Note 2),28,,,Operational
Mercator,73-nn,,List of number of points along each meridian or parallel,"(see Notes 4, 5 and 6)","4,124,136",,,Operational
