Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",10,Parameter Category,(see code table 4.1),,4.1,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",11,Parameter Number,(see code table 4.2),,4.2,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",12-13,Wave Direction Number,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",14-15,Number of Wave Directions – ND,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",16-17,Wave Frequency Number,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",18-19,Number of Wave Frequencies – NF,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",20,Type of Generating Process,(see code table 4.3),,4.3,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",21,Background generating process identifier (defined by originating centre),,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",22,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",23-24,Hours of observational data cut-off after reference time,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",25,Minutes of observational data cut-off after reference time,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",26,Indicator of Unit of Time Range,(see code table 4.4),,4.4,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",27-30,Forecast time in units defined by previous octet,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",31,Type of Wave Direction Sequence,(see code table 4.251),,4.251,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",32,Number of Wave Direction Sequence Parameters – NDSP,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",,The next two entries are repeated NDSP times to encode the scale factors and scaled values of the sequence parameters.,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",33 + (NDSP-1)*5,Scale Factor of Wave Direction Sequence Parameter,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",34+(NDSP-1)*5 - 37+(NDSP-1)*5,Scaled Value of Wave Direction Sequence Parameter,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",33+NDSP*5,Type of Wave Frequency Sequence,(see code table 4.251),,4.251,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",34+NDSP*5,Number of Wave Frequency Sequence Parameters – NFSP,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",,The next two entries are repeated NFSP times to encode the scale factors and scaled values of the sequence parameters.,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",35+NDSP*5+(NFSP-1)*5,Scale Factor of Wave Frequency Sequence Parameter,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with frequencies and directions defined by formulae",36+NDSP*5+(NFSP-1)*5 -39+NDSP*5+(NFSP-1)*5,Scaled Value of Wave Frequency Sequence Parameter,,,,,Operational
