Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",0,,Wave spectra (1),,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",1,,Wave spectra (2),,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",2,,Wave spectra (3),,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",3,,Significant height of combined wind waves and swell,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",4,,Direction of wind waves,,,degree true,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",5,,Significant height of wind waves,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",6,,Mean period of wind waves,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",7,,Direction of swell waves,,,degree true,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",8,,Significant height of swell waves,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",9,,Mean period of swell waves,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",10,,Primary wave direction,,,degree true,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",11,,Primary wave mean period,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",12,,Secondary wave direction,,,degree true,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",13,,Secondary wave mean period,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",14,,Mean direction of combined wind waves and swell,,,degree true,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",15,,Mean period of combined wind waves and swell,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",16,,Coefficient of drag with waves,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",17,,Friction velocity,,,m/s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",18,,Wave stress,,,N m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",19,,Normalized wave stress,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",20,,Mean square slope of waves,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",21,,u-component surface Stokes drift,,,m/s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",22,,v-component surface Stokes drift,,,m/s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",23,,Period of maximum individual wave height,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",24,,Maximum individual wave height,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",25,,Inverse mean wave frequency,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",26,,Inverse mean frequency of wind waves,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",27,,Inverse mean frequency of total swell,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",28,,Mean zero-crossing wave period,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",29,,Mean zero-crossing period of wind waves,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",30,,Mean zero-crossing period of total swell,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",31,,Wave directional width,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",32,,Directional width of wind waves,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",33,,Directional width of total swell,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",34,,Peak wave period,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",35,,Peak period of wind waves,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",36,,Peak period of total swell,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",37,,Altimeter wave height,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",38,,Altimeter corrected wave height,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",39,,Altimeter range relative correction,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",40,,10-metre neutral wind speed over waves,,,m/s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",41,,10-metre wind direction over waves,,,deg,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",42,,Wave energy spectrum,,,m2 s rad-1,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",43,,Kurtosis of the sea-surface elevation due to waves,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",44,,Benjamin-Feir index,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",45,,Spectral peakedness factor,,,/s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",46,,Peak wave direction,,,deg,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",47,,Significant wave height of first swell partition,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",48,,Significant wave height of second swell partition,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",49,,Significant wave height of third swell partition,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",50,,Mean wave period of first swell partition,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",51,,Mean wave period of second swell partition,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",52,,Mean wave period of third swell partition,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",53,,Mean wave direction of first swell partition,,,deg,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",54,,Mean wave direction of second swell partition,,,deg,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",55,,Mean wave direction of third swell partition,,,deg,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",56,,Wave directional width of first swell partition,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",57,,Wave directional width of second swell partition,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",58,,Wave directional width of third swell partition,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",59,,Wave frequency width of first swell partition,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",60,,Wave frequency width of second swell partition,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",61,,Wave frequency width of third swell partition,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",62,,Wave frequency width,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",63,,Frequency width of wind waves,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",64,,Frequency width of total swell,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",65,,Peak wave period of first swell partition,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",66,,Peak wave period of second swell partition,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",67,,Peak wave period of third swell partition,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",68,,Peak wave direction of first swell partition,,,degree true,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",69,,Peak wave direction of second swell partition,,,degree true,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",70,,Peak wave direction of third swell partition,,,degree true,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",71,,Peak direction of wind waves,,,degree true,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",72,,Peak direction of total swell,,,degree true,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",73,,Whitecap fraction,,,fraction,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",74,,Mean direction of total swell,,,degree,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",75,,Mean direction of wind waves,,,degree,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",76,,Charnock,(see Note 2),133,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",77,,Wave Spectral Skewness,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",78,,Wave energy flux magnitude,,,W m-1,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",79,,Wave energy flux mean direction,,,degree true,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",80,,Ratio of wave angular and frequency width,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",81,,Free convective velocity over the oceans,,,m s-1,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",82,,Air density over the oceans,,,kg m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",83,,Normalized energy flux into waves,(see Note 3),134,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",84,,Normalized stress into ocean,(see Note 3),134,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",85,,Normalized energy flux into ocean,(see Note 3),134,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",86,,Surface elevation variance due to waves (over all frequencies and directions),,,m2 s rad-1,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",87,,Wave induced mean sea level correction,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",88,,Spectral width index,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",89,,Number of events in freak waves statistics,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",90,,u-component of surface momentum flux into ocean,,,N m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",91,,v-component of surface momentum flux into ocean,,,N m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",92,,Wave turbulent energy flux into ocean,,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",93,,Envelop maximum individual wave height,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",94,,Time domain maximum individual crest height,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",95,,Time domain maximum individual wave height,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",96,,Space time maximum individual crest height,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",97,,Space time maximum individual wave height,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",98,,Goda peakedness factor,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",99,,Benjamin-Feir index 2D (BFI2D),(see Note 4),179,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",100,,Crest-trough correlation,(see Note 5),180,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",101,,X component of the wave radiative stress to sea-ice,(see Note 6),182,N m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",102,,Y component of the wave radiative stress to sea-ice,(see Note 6),182,N m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",103,,u-component of atmospheric surface momentum flux,(see Note 7),183,N m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",104,,v-component of atmospheric surface momentum flux,(see Note 7),183,N m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",105-191,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",192-254,,Reserved for local use,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",255,,Missing,,,,Operational
