Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
Product definition template number,,0,,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Product definition template number,,1,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",,,,Operational
Product definition template number,,2,,Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Product definition template number,,3,,Derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Product definition template number,,4,,Derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Product definition template number,,5,,Probability forecasts at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Product definition template number,,6,,Percentile forecasts at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Product definition template number,,7,,Analysis or forecast error at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Product definition template number,,8,,"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,,,Operational
Product definition template number,,9,,Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,,,,Operational
Product definition template number,,10,,Percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,,,,Experimental
Product definition template number,,11,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous interval",,,,Operational
Product definition template number,,12,,"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer, in a continuous or non-continuous interval",,,,Operational
Product definition template number,,13,,"Derived forecasts based on a cluster of ensemble members over a rectangular area, at a horizontal level or in a horizontal layer, in a continuous or non-continuous interval",,,,Operational
Product definition template number,,14,,"Derived forecasts based on a cluster of ensemble members over a circular area, at a horizontal level or in a horizontal layer, in a continuous or non-continuous interval",,,,Operational
Product definition template number,,15,,"Average, accumulation, extreme values or other statistically processed values over a spatial area at a horizontal level or in a horizontal layer at a point in time",,,,Operational
Product definition template number,,16-19,,Reserved,,,,Operational
Product definition template number,,20,,Radar product,,,,Operational
Product definition template number,,21-29,,Reserved,,,,Operational
Product definition template number,,30,,Satellite product (deprecated),,,,Deprecated
Product definition template number,,31,,Satellite product,,,,Operational
Product definition template number,,32,,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data,,,,Operational
Product definition template number,,33,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data",,,,Operational
Product definition template number,,34,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous interval for simulated (synthetic) satellite data",,,,Operational
Product definition template number,,35,,Satellite product with or without associated quality values,,,,Operational
Product definition template number,,36-39,,Reserved,,,,Operational
Product definition template number,,40,,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents,,,,Operational
Product definition template number,,41,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",,,,Operational
Product definition template number,,42,,"Average, accumulation, and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents",,,,Operational
Product definition template number,,43,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents",,,,Operational
Product definition template number,,44,,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for aerosol (deprecated),,,,Deprecated
Product definition template number,,45,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for aerosol",,,,Operational
Product definition template number,,46,,"Average, accumulation, and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for aerosol",,,,Operational
Product definition template number,,47,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for aerosol",,,,Operational
Product definition template number,,48,,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol,,,,Operational
Product definition template number,,49,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",,,,Operational
Product definition template number,,50,,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for aerosol,,,,Operational
Product definition template number,,51,,Categorical forecasts at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Product definition template number,,52,,Reserved,,,,Operational
Product definition template number,,53,,Partitioned parameters at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Product definition template number,,54,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for partitioned parameters",,,,Operational
Product definition template number,,55,,Spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,,,,Operational
Product definition template number,,56,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters (deprecated)",,,,Deprecated
Product definition template number,,57,,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,,,,Operational
Product definition template number,,58,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",,,,Operational
Product definition template number,,59,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters (corrected version of template 4.56)",,,,Operational
Product definition template number,,60,,"Individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",,,,Operational
Product definition template number,,61,,"Individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",,,,Operational
Product definition template number,,62,,"Average, accumulation, and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time",,,,Operational
Product definition template number,,63,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for spatio-temporal changing tiles",,,,Operational
Product definition template number,,64-66,,Reserved,,,,Operational
Product definition template number,,67,,"Average, accumulation, and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents based on a distribution function",,,,Operational
Product definition template number,,68,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents based on a distribution function",,,,Operational
Product definition template number,,69,,Reserved,,,,Operational
