Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",10,Parameter category,(see Code table 4.1),,4.1,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",11,Parameter number,(see Code table 4.2),,4.2,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",12,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",13,Background generating process identifier (defined by originating centre),,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",14,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",15,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",16,Scale factor of first fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",17-20,Scaled value of first fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",21,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",22,Scale factor of second fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",23-26,Scaled value of second fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",27,Statistical process used to calculate the fields that will be used in the local time processing,(see Code table 4.10),,4.10,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",28,Indicator of unit of time range over which statistical processing is done,(see Code table 4.4),,4.4,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",29-32,Length of the time range over which statistical processing is done in units defined by the previous octet,(see note 1),140,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",33,Number of statistically processed fields used in the local time composite field,(see note 2),141,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",34,Method used to derive the data field values at the local time specified in section 1,(see Code Table 4.248),,4.248,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",35,n - number of analysis or forecast used to create the composite data field at the local time specified in section 1 (n>=1),(see note 3),142,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",,Octet 36-53 Specification of the analysis or forecast used in the processing (n=1),,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",36-37,Year of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",38,Month of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",39,Day of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",40,Hour of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",41,Minute of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",42,Second of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",43,Indicator of units of forecast time,"(see Code Table 4.4, set to missing if analysis)",70,4.4,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",44-47,Forecast time (set to missing if analysis),,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",48,Number of time increments of the forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",49,Indicator of units of time for the time increments,,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",50-53,Time increments between successive forecast time,(see note 4),143,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",,Octet 54-nn are included only if n>1 where nn=35+18*n,,,,,Operational
"Average, accumulation, extreme values or other statistically processed value at a horizontal level or in a horizontal layer at a local time",54-nn,(n-1) repetitions of sequence of octet 36-53 describing the next analyses or forecasts used in the processing,,,,,Operational
