Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",10,1,Parameter category,(see Code table 4.1),,4.1,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",11,1,Parameter number,(see Code table 4.2),,4.2,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",12-13,2,Aerosol type,(see Code table 4.233),,4.233,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",14,1,Type of interval for first and second sizes,(see Code table 4.91),,4.91,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",15,1,Scale factor of first size,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",16-19,4,Scaled value of first size in metres,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",20,1,Scale factor of second size,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",21-24,4,Scaled value of second size in metres,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",25,1,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",26,1,Background generating process identifier (defined by originating centre),,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",27,1,Forecast generating process identifier (defined by originating centre),,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",28-29,2,Hours after reference time of data cut-off,(see Note),33,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",30,1,Minutes after reference time of data cut-off,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",31,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",32-35,4,Forecast time in units defined by octet 31,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",36,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",37,1,Scale factor of first fixed surface,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",38-41,4,Scaled value of first fixed surface,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",42,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",43,1,Scale factor of second fixed surface,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",44-47,4,Scaled value of second fixed surface,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",48,1,Derived forecast,(see Code table 4.7),,4.7,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time for aerosol",49-52,4,Number of forecasts in ensemble,,,,,Operational
