Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,UnitComments_en,Status
Type of original field values,,0,,Floating point,,,Operational
Type of original field values,,1,,Integer,,,Operational
Type of original field values,,2-191,,Reserved,,,Operational
Type of original field values,,192-254,,Reserved for local use,,,Operational
Type of original field values,,255,,Missing,,,Operational
