Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",0,,Cloud ice,,,kg m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",1,,Total cloud cover,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",2,,Convective cloud cover,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",3,,Low cloud cover,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",4,,Medium cloud cover,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",5,,High cloud cover,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",6,,Cloud water,,,kg m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",7,,Cloud amount,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",8,,Cloud type,,,(Code table 4.203),Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",9,,Thunderstorm maximum tops,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",10,,Thunderstorm coverage,,,(Code table 4.204),Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",11,,Cloud base,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",12,,Cloud top,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",13,,Ceiling,,,m,Operational
