Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",10,Parameter category,(see Code table 4.1),,4.1,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",11,Parameter number,(see Code table 4.2),,4.2,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",12,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",13,Background generating process identifier (defined by originating centre),,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",14,Forecast generating process identifier (defined by originating centre),,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",15,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",16,Scale factor of first fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",17-20,Scaled value of first fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",21,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",22,Scale factor of second fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",23-26,Scaled value of second fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",27,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",28,Perturbation number,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",29,Number of forecasts in ensemble,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",30,Statistical process used to calculate the fields that will be used in the local time processing,(see Code table 4.10),,4.10,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",31,Indicator of unit of time range over which statistical processing is done,(see Code table 4.4),,4.4,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",32-35,Length of the time range over which statistical processing is done in units defined by the previous octet,(see note 1),,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",36,Number of statistically processed fields used in the local time composite field,(see note 2),,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",37,Method used to derive the data field values at the local time specified in section 1,(see Code Table 4.248),,4.248,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",38,n - number of analysis or forecast used to create the composite data field at the local time specified in section 1 (n>=1),(see note 3),,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",,Octet 39-56 Specification of the analysis or forecast used in the processing (n=1),,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",39-40,Year of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",41,Month of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",42,Day of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",43,Hour of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",44,Minute of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",45,Second of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",46,Indicator of units of forecast time,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",47-50,Forecast time (set to missing if analysis),,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",51,Number of time increments of the forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",52,Indicator of units of time for the time increments,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",53-56,Time increments between successive forecast time,(see note 4),,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",,Octet 57-nn are included only if n>1 where nn=38+18*n,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of an individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",57-nn,(n-1) repetitions of sequence of octet 39-56 describing the next analyses or forecasts used in the processing,,,,,Operational
