Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",10,Parameter category,(see Code table 4.1),,4.1,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",11,Parameter number,(see Code table 4.2),,4.2,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",12,Type of generating process,(see Code table 4.3),,4.3,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",13,Background generating process identifier (defined by originating centre),,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",14,Forecast generating process identifier (defined by originating centre),,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",15-16,Hours after reference time of data cut-off,(see Note 1),33,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",17,Minutes after reference time of data cut-off,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",18,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",19-22,Forecast time in units defined by octet 18,(see Note 2),111,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",23,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",24,Scale factor of first fixed surface,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",25-28,Scaled value of first fixed surface,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",29,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",30,Scale factor of second fixed surface,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",31-34,Scaled value of second fixed surface,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",35,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",36,Perturbation number,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",37,Number of forecasts in ensemble,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",38-39,Year of model version date,(see Note 3),127,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",40,Month of model version date,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",41,Day of model version date,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",42,Hour of model version date,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",43,Minute of model version date,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",44,Second of model version date,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",45-46,Year of end of overall time interval,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",47,Month of end of overall time interval,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",48,Day of end of overall time interval,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",49,Hour of end of overall time interval,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",50,Minute of end of overall time interval,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",51,Second of end of overall time interval,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",52,n - number of time range specifications describing the time intervals used to calculate the statistically processed field,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",53-56,Total number of data values missing in statistical process,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",,57-68   Specification of the outermost (or only) time range over which statistical processing is done,,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",57,Statistical process used to calculate the processed field from the field at each time increment during the time range,(see Code table 4.10),,4.1,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",58,Type of time increment between successive fields used in the statistical processing,(see Code table 4.11),,4.11,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",59,Indicator of unit of time for time range over which statistical processing is done,(see Code table 4.4),,4.4,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",60-63,"Length of the time range over which statistical processing is done, in units defined by the previous octet",,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",64,Indicator of unit of time for the increment between the successive fields used,(see Code table 4.4),,4.4,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",65-68,"Time increment between successive fields, in units defined by the previous octet",(see Notes 4 and 5),"7,99",,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",,"69-nn   These octets are included only if n>1, where nn = 56 + 12 x n",,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",69-80,"As octets 57 to 68, next innermost step of processing",,,,,Operational
"individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",81-nn,"Additional time range specifications, included in accordance with the value of n. Contents as octets 57 to 68, repeated as necessary",,,,,Operational
