Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
GRIB master tables version number,,0,,Experimental,,,,Deprecated
GRIB master tables version number,,1,,Version implemented on 7 November 2001,,,,Deprecated
GRIB master tables version number,,2,,Version implemented on 4 November 2003,,,,Deprecated
GRIB master tables version number,,3,,Version implemented on 2 November 2005,,,,Deprecated
GRIB master tables version number,,4,,Version implemented on 7 November 2007,,,,Deprecated
GRIB master tables version number,,5,,Version implemented on 4 November 2009,,,,Deprecated
GRIB master tables version number,,6,,Version implemented on 15 September 2010,,,,Deprecated
GRIB master tables version number,,7,,Version implemented on 4 May 2011,,,,Deprecated
GRIB master tables version number,,8,,Version implemented on 2 November 2011,,,,Deprecated
GRIB master tables version number,,9,,Version implemented on 2 May 2012,,,,Deprecated
GRIB master tables version number,,10,,Version implemented on 7 November 2012,,,,Deprecated
GRIB master tables version number,,11,,Version implemented on 8 May 2013,,,,Deprecated
GRIB master tables version number,,12,,Version implemented on 14 November 2013,,,,Deprecated
GRIB master tables version number,,13,,Version implemented on 7 May 2014,,,,Deprecated
GRIB master tables version number,,14,,Version implemented on 5 November 2014,,,,Deprecated
GRIB master tables version number,,15,,Version implemented on 6 May 2015,,,,Deprecated
GRIB master tables version number,,16,,Version implemented on 11 November 2015,,,,Deprecated
GRIB master tables version number,,17,,Version implemented on 4 May 2016,,,,Deprecated
GRIB master tables version number,,18,,Version implemented on 2 November 2016,,,,Deprecated
GRIB master tables version number,,19,,Version implemented on 3 May 2017,,,,Deprecated
GRIB master tables version number,,20,,Version implemented on 8 November 2017,,,,Deprecated
GRIB master tables version number,,21,,Version implemented on 2 May 2018,,,,Deprecated
GRIB master tables version number,,22,,Version implemented on 7 November 2018,,,,Deprecated
GRIB master tables version number,,23,,Pre-operational to be implemented by next amendment,,,,Deprecated
GRIB master tables version number,,24-254,,Future versions,(see Note),108,,Deprecated
GRIB master tables version number,,255,,Missing,,,,Deprecated
