Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,UnitComments_en,Status
Shape of the Earth,,0,,Earth assumed spherical with radius = 6 367 470.0 m,,,Operational
Shape of the Earth,,1,,Earth assumed spherical with radius specified (in m) by data producer,,,Operational
Shape of the Earth,,2,,"Earth assumed oblate spheroid with size as determined by IAU in 1965 (major axis = 6 378 160.0 m, minor axis = 6 356 775.0 m, f = 1/297.0)",,,Operational
Shape of the Earth,,3,,Earth assumed oblate spheroid with major and minor axes specified (in km) by data producer,,,Operational
Shape of the Earth,,4,,"Earth assumed oblate spheroid as defined in IAG-GRS80 model (major axis = 6 378 137.0 m, minor axis = 6 356 752.314 m, f = 1/298.257 222 101)",,,Operational
Shape of the Earth,,5,,Earth assumed represented by WGS-84 (as used by ICAO since 1998),,,Operational
Shape of the Earth,,6,,Earth assumed spherical with radius of 6 371 229.0 m,,,Operational
Shape of the Earth,,7,,Earth assumed oblate spheroid with major or minor axes specified (in m) by data producer,,,Operational
Shape of the Earth,,8,,"Earth model assumed spherical with radius of 6 371 200 m, but the horizontal datum of the resulting latitude/longitude field is the WGS-84 reference frame",,,Operational
Shape of the Earth,,9,,"Earth represented by the Ordnance Survey Great Britain 1936 Datum, using the Airy 1830 Spheroid, the Greenwich meridian as 0 longitude, and the Newlyn datum as mean sea level, 0 height",,,Operational
Shape of the Earth,,10-191,,Reserved,,,Operational
Shape of the Earth,,192-254,,Reserved for local use,,,Operational
Shape of the Earth,,255,,Missing,,,Operational
