Title_en,OctetNo,Contents_en,Note_en,Status
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,10,Parameter category,(see Code table 4.1),Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,11,Parameter number,(see Code table 4.2),Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,12,Type of generating process,(see Code table 4.3),Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,13,Background generating process identifier (defined by originating centre),,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,14,Forecast generating process identifier (defined by originating centre),,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,15-16,Hours after reference time of data cut-off,(see Note 1),Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,17,Minutes after reference time of data cut-off,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,18,Indicator of unit of time range,(see Code table 4.4),Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,19-22,Forecast time in units defined by octet 18,(see Note 2),Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,23,Type of first fixed surface,(see Code table 4.5),Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,24,Scale factor of first fixed surface,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,25-28,Scaled value of first fixed surface,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,29,Type of second fixed surface,(see Code table 4.5),Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,30,Scale factor of second fixed surface,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,31-34,Scaled value of second fixed surface,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,35,NC - number of categories,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,,"36-   Repeat the following 12 octets for each category (i = 1,NC)",,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(36+12(i-1)),Code figure,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(37+12(i-1)),Type of interval for first and second limits,(see Code table 4.91),Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(38+12(i-1)),Scale factor of first limit,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(39+12(i-1))-(42+12(i-1)),Scaled value of first limit,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(43+12(i-1)),Scale factor of second limit,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(44+12(i-1))-(47+12(i-1)),Scaled value of second limit,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(48+12(NC-1))-(49+12(NC-1)),Year of end of overall time interval,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(50+12(NC-1)),Month of end of overall time interval,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(51+12(NC-1)),Day of end of overall time interval,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(52+12(NC-1)),Hour of end of overall time interval,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(53+12(NC-1)),Minute of end of overall time interval,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(54+12(NC-1)),Second of end of overall time interval,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(55+12(NC-1)),n - number of time range specifications describing the time intervals used to calculate the statistically processed field,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(56+12(NC-1))-(59+12(NC-1)),Total number of data values missing in statistical process,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,,60-71   Specification of the outermost (or only) time range over which statistical processing is done,,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(60+12(NC-1)),Statistical process used to calculate the processed field from the field at each time increment during the time range,(see Code table 4.10),Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(61+12(NC-1)),Type of time increment between successive fields used in the statistical processing,(see Code table 4.11),Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(62+12(NC-1)),Indicator of unit of time for time range over which statistical processing is done,(see Code table 4.4),Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(63+12(NC-1))-(66+12(NC-1)),"Length of the time range over which statistical processing is done, in units defined by the previous octet",,Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(67+12(NC-1)),Indicator of unit of time for the increment between the successive fields used,(see Code table 4.4),Operational
categorical forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(68+12(NC-1))-(71+12(NC-1)),"Time increment between successive fields, in units defined by the previous octet",(see Notes 3 and 4),Operational
