Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",10,1,Parameter category,(see Code table 4.1),,4.1,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",11,1,Parameter number,(see Code table 4.2),,4.2,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",12-13,2,Atmospheric chemical constituent type,(see Code table 4.230),,4.230,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",14,1,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",15,1,Background generating process identifier (defined by originating centre),,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",16,1,Forecast generating process identifier (defined by originating centre),,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",17-18,2,Hours after reference time of data cut-off,(see Note),33,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",19,1,Minutes after reference time of data cut-off,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",20,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",21-24,4,Forecast time in units defined by octet 20,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",25,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",26,1,Scale factor of first fixed surface,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",27-30,4,Scaled value of first fixed surface,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",31,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",32,1,Scale factor of second fixed surface,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",33-36,4,Scaled value of second fixed surface,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",37,1,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",38-41,4,Number of forecasts in ensemble,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",42,1,Forecast probability number,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",43,1,Total number of forecast probabilities,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",44,1,Probability type,(see Code table 4.9),,4.9,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",45,1,Scale factor of lower limit,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",46-49,4,Scaled value of lower limit,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",50,1,Scale factor of upper limit,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",51-54,4,Scaled value of upper limit,,,,,Operational
