Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,10,Parameter category,(see Code table 4.1),,4.1,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,11,Parameter number,(see Code table 4.2),,4.2,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,12,Type of generating process,(see Code table 4.3),,4.3,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,13,Background generating process identifier (defined by originating centre),,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,14,Forecast generating process identifier (defined by originating centre),,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,15-16,Hours after reference time of data cut-off,(see Note 1),33,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,17,Minutes after reference time of data cut-off,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,18,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,19-22,Forecast time in units defined by octet 18,(see Note 2),111,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,23,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,24,Scale factor of first fixed surface,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,25-28,Scaled value of first fixed surface,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,29,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,30,Scale factor of second fixed surface,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,31-34,Scaled value of second fixed surface,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,35,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,36-39,Number of forecasts in ensemble,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,40,Forecast probability number,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,41,Total number of forecast probabilities,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,42,Probability type,(see Code table 4.9),,4.9,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,43,Scale factor of lower limit,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,44-47,Scaled value of lower limit,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,48,Scale factor of upper limit,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,49-52,Scaled value of upper limit,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,53-54,Year of end of overall time interval,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,55,Month of end of overall time interval,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,56,Day of end of overall time interval,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,57,Hour of end of overall time interval,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,58,Minute of end of overall time interval,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,59,Second of end of overall time interval,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,60,n - number of time range specifications describing the time intervals used to calculate the statistically processed field,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,61-64,Total number of data values missing in the statistical process,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,,65-76   Specification of the outermost (or only) time range over which statistical processing is done,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,65,Statistical process used to calculate the processed field from the field at each time increment during the time range,(see Code table 4.10),,4.10,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,66,Type of time increment between successive fields used in the statistical processing,(see Code table 4.11),,4.11,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,67,Indicator of unit of time for time range over which statistical processing is done,(see Code table 4.4),,4.4,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,68-71,"Length of the time range over which statistical processing is done, in units defined by the previous octet",,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,72,Indicator of unit of time for the increment between the successive fields used,(see Code table 4.4),,4.4,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,73-76,"Time increment between successive fields, in units defined by the previous octet",(see Notes 3 and 4),"7,95",,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,,"77-nn   These octets are included only if n > 1, where nn = 64 + 12 x n",,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,77-88,"As octets 65 to 76, next innermost step of processing",,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,89-nn,"Additional time range specifications, included in accordance with the value of n. Contents as octets 65 to 76, repeated as necessary.",,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,nn + 1,Spatial Vicinity Type,(see code table 4.103),,4.103,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,nn + 2,Number of Spatial Vicinity Values – NSV,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,,The next entry repeats nsv=1:NSV times,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(nn + 3+(nsv-1)*4)–(nn + 6+(nsv-1)*4),Spatial Vicinity Value,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,nn + 7+(nsv-1)*4,Spatial Vicinity Processing,(see code table 4.104),,4.104,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(nn + 8+(nsv-1)*4)-(nn + 9+(nsv-1)*4),"Spatial Vicinity Processing Argument 1 (e.g., if previous is quantile)",,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(nn + 10+(nsv-1)*4)-(nn + 11+(nsv-1)*4),"Spatial Vicinity Processing Argument 2 (e.g., if previous is quantile)",,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,nn + 12+(nsv-1)*4,Spatial Vicinity Missing Data,(see code table 4.105),,4.105,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(nn + 13+(nsv-1)*4),Temporal Vicinity Processing,(see code table 4.104),,4.104,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(nn + 14+(nsv-1)*4),Temporal Vicinity Unit,(see code table 4.4),,4.4,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(nn + 15+(nsv-1)*4)-(nn + 18+(nsv-1)*4),Temporal Vicinity Towards Past,,,,,Operational
Probability forecasts with spatiotemporal processing based on focal (moving window) statistics at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,(nn + 19+(nsv-1)*4)-(nn + 22+(nsv-1)*4),Temporal Vicinity Towards Future,,,,,Operational
