Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",10,,Parameter category,(see Code table 4.1),,4.1,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",11,,Parameter number,(see Code table 4.2),,4.2,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",13-Dec,,Input process identifier,(see Note 1),82,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",14-15,,Input originating centre,(see Note 2 and Common Code table C-11),81,CCT-11,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",16,,Type of post-processing,(see Note 3),126,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",17,,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",18,,Background generating process identifier (defined by originating centre),,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",19,,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",20,,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",21,,Scale factor of first fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",22-25,,Scaled value of first fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",26,,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",27,,Scale factor of second fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",28-31,,Scaled value of second fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",32,,Statistical process used to calculate the fields that will be used in the local time processing,(see Code table 4.10),,4.1,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",33,,Indicator of unit of time range over which statistical processing is done,(see Code table 4.4),,4.4,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",34-37,,Length of the time range over which statistical processing is done in units defined by the previous octet,(see Note 4),140,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",38,,Number of statistically processed fields used in the local time composite field,(see Note 5),141,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",39,,Method used to derive the data field values at the local time specified in section 1,(see Code table 4.248),,4.248,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",40,,n - number of analyses or forecasts used to create the composite data field at the local time specified in section 1 (n >= 1),(see Note 6),146,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",,,Octets 41-58 Specification of the analysis or forecast used in the processing (n = 1),,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",41-42,,Year of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",43,,Month of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",44,,Day of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",45,,Hour of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",46,,Minute of the analysis or forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of post-processing analysis or forecast at a horizontal level or in a horizontal layer at a local time",47,,Second of the analysis or forecast used in the processing,,,,,Operational
