Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)",15-72,Same as grid definition template 3.0,(see Note 1),9,,,Operational
"stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)",73-76,Latitude of the pole of stretching,,,,,Operational
"stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)",77-80,Longitude of the pole of stretching,,,,,Operational
"stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)",81-84,Stretching factor,,,,,Operational
"stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)",85-nn,List of number of points along each meridian or parallel.,(These octets are only present for quasi-regular grids as described in Note 3),"4,124",,,Operational
