Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",10,Parameter category,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",11,Parameter number,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",12,Type of interval (for wavelength),(see Code table 4.91),,4.91,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",13,Scale factor of first wavelength,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",14-17,Scaled value of first wavelength,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",18,Scale factor of second wavelength,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",19-22,Scaled value of second wavelength,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",23,Type of generating process,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",24,Background generating process identifier (defined by originating centre),,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",25,Forecast generating process identifier (defined by originating centre),,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",26-27,Hours after reference time of data cut-off,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",28,Minutes after reference time of data cut-off,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",29,Indicator of unit of time range,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",30-33,Forecast time in units defined by octet 29,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",34,Type of first fixed surface,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",35,Scale factor of first fixed surface,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",36-39,Scaled value of first fixed surface,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",40,Type of second fixed surface,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",41,Scale factor of second fixed surface,,,,,Operational
"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for generic optical products",42-45,Scaled value of second fixed surface,,,,,Operational
