Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",0,,Urban cover,,,Proportion,Operational
Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",1,,Road cover,,,Proportion,Operational
Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",2,,Building cover,,,Proportion,Operational
Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",3,,Building height,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",4,,Vertical-to-horizontal area fraction,,,m2 m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",5,,Standard deviation of building height,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",6,,Distance downward from roof surface,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",7,,Distance inward from outer wall surface,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",8,,Distance downward from road surface,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",9-191,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",192-254,,Reserved for local use,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",255,,Missing,,,,Operational
