Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
Identification template number,,0,,Calendar definition,,,,Operational
Identification template number,,1,,Paleontological offset,,,,Operational
Identification template number,,2,,Calendar definition and paleontological offset,,,,Operational
Identification template number,,3-32767,,Reserved,,,,Operational
Identification template number,,32768-65534,,Reserved for local use,,,,Operational
Identification template number,,65535,,Missing,,,,Operational
