Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",10,Parameter category,(see Code table 4.1),,4.1,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",11,Parameter number,(see Code table 4.2),,4.2,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",12-13,Input process identifier,(see Note 1),82,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",14-15,Input originating centre,(see Note 2 and Common Code table C-11),81,CCT-11,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",16,Type of post-processing,(see Note 3),126,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",17,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",18,Background generating process identifier (defined by originating centre),,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",19,Forecast generating process identifier (defined by originating centre),,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",20,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",21,Scale factor of first fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",22-25,Scaled value of first fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",26,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
