Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
transverse Mercator,15,1,Shape of the Earth,(see Code table 3.2),,3.2,,Operational
transverse Mercator,16,1,Scale factor of radius of spherical Earth,,,,,Operational
transverse Mercator,17-20,4,Scaled value of radius of spherical Earth,,,,,Operational
transverse Mercator,21,1,Scale factor of major axis of oblate spheroid Earth,,,,,Operational
transverse Mercator,22-25,4,Scaled value of major axis of oblate spheroid Earth,,,,,Operational
transverse Mercator,26,1,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational
transverse Mercator,27-30,4,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational
transverse Mercator,31-34,4,Ni - number of points along i-axis,,,,,Operational
transverse Mercator,35-38,4,Nj - number of points along j-axis,,,,,Operational
transverse Mercator,39-42,4,LaR - geographic latitude of reference point,,,,,Operational
transverse Mercator,43-46,4,LoR - geographic longitude of reference point,,,,,Operational
transverse Mercator,47,1,Resolution and component flags,(see Flag table 3.3),,,3.3,Operational
transverse Mercator,48-51,4,m - scale factor at reference point ratio of distance on map to distance on spheroid (IEEE 32-bit floating-point values),,,,,Operational
transverse Mercator,52-55,4,"XR - false easting, i-direction coordinate of reference point in units of 10-2 m",,,,,Operational
transverse Mercator,56-59,4,"YR - false northing, j-direction coordinate of reference point in units of 10-2 m",,,,,Operational
transverse Mercator,60,1,Scanning mode,(see Flag table 3.4),,,3.4,Operational
transverse Mercator,61-64,4,Di - i-direction increment length in units of  10-2 m,,,,,Operational
transverse Mercator,65-68,4,Dj - j-direction increment length in units of 10-2 m,,,,,Operational
transverse Mercator,69-72,4,x1 - i-direction coordinate of the first grid point in units of 10-2 m,,,,,Operational
transverse Mercator,73-76,4,y1 - j-direction coordinate of the first grid point in units of 10-2 m,,,,,Operational
transverse Mercator,77-80,4,x2 - i-direction coordinate of the last grid point in units of 10-2 m,,,,,Operational
transverse Mercator,81-84,4,y2 - j-direction coordinate of the last grid point in units of 10-2 m,,,,,Operational
