noteID,template,octet
9,GRIB2_Template_3_4_GridDefinitionTemplate_en,39-42
9,GRIB2_Template_3_4_GridDefinitionTemplate_en,43-46
9,GRIB2_Template_3_4_GridDefinitionTemplate_en,49-ii
9,GRIB2_Template_3_40_GridDefinitionTemplate_en,39-42
9,GRIB2_Template_3_40_GridDefinitionTemplate_en,43-46
9,GRIB2_Template_3_40_GridDefinitionTemplate_en,47-50
9,GRIB2_Template_3_40_GridDefinitionTemplate_en,51-54
9,GRIB2_Template_3_40_GridDefinitionTemplate_en,56-59
9,GRIB2_Template_3_40_GridDefinitionTemplate_en,60-63
9,GRIB2_Template_3_40_GridDefinitionTemplate_en,64-67
9,GRIB2_Template_3_41_GridDefinitionTemplate_en,15-72
9,GRIB2_Template_3_42_GridDefinitionTemplate_en,15-72
9,GRIB2_Template_3_43_GridDefinitionTemplate_en,15-72
9,GRIB2_Template_3_5_GridDefinitionTemplate_en,(ii+1)-jj
9,GRIB2_Template_3_5_GridDefinitionTemplate_en,15-48
9,GRIB2_Template_3_5_GridDefinitionTemplate_en,61-ii
15,GRIB2_Template_3_0_GridDefinitionTemplate_en,73-nn
19,GRIB2_Template_4_67_ProductDefinitionTemplate_en,18-19
19,GRIB2_Template_4_68_ProductDefinitionTemplate_en,18-19
20,GRIB2_Template_4_55_ProductDefinitionTemplate_en,13
20,GRIB2_Template_4_55_ProductDefinitionTemplate_en,14
20,GRIB2_Template_4_56_ProductDefinitionTemplate_en,13
20,GRIB2_Template_4_56_ProductDefinitionTemplate_en,14
20,GRIB2_Template_4_59_ProductDefinitionTemplate_en,13
20,GRIB2_Template_4_59_ProductDefinitionTemplate_en,14
20,GRIB2_Template_4_62_ProductDefinitionTemplate_en,13
20,GRIB2_Template_4_62_ProductDefinitionTemplate_en,14
20,GRIB2_Template_4_63_ProductDefinitionTemplate_en,13
20,GRIB2_Template_4_63_ProductDefinitionTemplate_en,14
22,GRIB2_Template_3_90_GridDefinitionTemplate_en,69-72
26,GRIB2_Template_3_5_GridDefinitionTemplate_en,(ii+1)-jj
26,GRIB2_Template_3_5_GridDefinitionTemplate_en,61-ii
28,GRIB2_Template_3_10_GridDefinitionTemplate_en,65-68
28,GRIB2_Template_3_10_GridDefinitionTemplate_en,69-72
28,GRIB2_Template_3_20_GridDefinitionTemplate_en,56-59
28,GRIB2_Template_3_20_GridDefinitionTemplate_en,60-63
28,GRIB2_Template_3_30_GridDefinitionTemplate_en,56-59
28,GRIB2_Template_3_30_GridDefinitionTemplate_en,60-63
28,GRIB2_Template_3_31_GridDefinitionTemplate_en,56-59
28,GRIB2_Template_3_31_GridDefinitionTemplate_en,60-63
29,GRIB2_Template_3_140_GridDefinitionTemplate_en,56-59
29,GRIB2_Template_3_140_GridDefinitionTemplate_en,60-63
33,GRIB2_Template_4_0_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_1_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_10_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_1000_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_1001_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_1002_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_11_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_1100_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_1101_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_12_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_13_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_14_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_15_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_2_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_3_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_32_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_33_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_34_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_4_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_40_ProductDefinitionTemplate_en,17-18
33,GRIB2_Template_4_41_ProductDefinitionTemplate_en,17-18
33,GRIB2_Template_4_42_ProductDefinitionTemplate_en,17-18
33,GRIB2_Template_4_43_ProductDefinitionTemplate_en,17-18
33,GRIB2_Template_4_44_ProductDefinitionTemplate_en,28-29
33,GRIB2_Template_4_45_ProductDefinitionTemplate_en,28-29
33,GRIB2_Template_4_46_ProductDefinitionTemplate_en,28-29
33,GRIB2_Template_4_47_ProductDefinitionTemplate_en,28-29
33,GRIB2_Template_4_48_ProductDefinitionTemplate_en,39-40
33,GRIB2_Template_4_49_ProductDefinitionTemplate_en,39-40
33,GRIB2_Template_4_5_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_51_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_55_ProductDefinitionTemplate_en,21-22
33,GRIB2_Template_4_56_ProductDefinitionTemplate_en,21-22
33,GRIB2_Template_4_57_ProductDefinitionTemplate_en,(24+5Np)-(25+5Np)
33,GRIB2_Template_4_58_ProductDefinitionTemplate_en,(24+5Np)-(25+5Np)
33,GRIB2_Template_4_59_ProductDefinitionTemplate_en,21-22
33,GRIB2_Template_4_6_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_60_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_61_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_62_ProductDefinitionTemplate_en,21-22
33,GRIB2_Template_4_63_ProductDefinitionTemplate_en,21-22
33,GRIB2_Template_4_67_ProductDefinitionTemplate_en,(24+5Np)-(25+5Np)
33,GRIB2_Template_4_68_ProductDefinitionTemplate_en,(24+5Np)-(25+5Np)
33,GRIB2_Template_4_7_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_70_ProductDefinitionTemplate_en,20-21
33,GRIB2_Template_4_71_ProductDefinitionTemplate_en,20-21
33,GRIB2_Template_4_72_ProductDefinitionTemplate_en,20-21
33,GRIB2_Template_4_73_ProductDefinitionTemplate_en,20-21
33,GRIB2_Template_4_76_ProductDefinitionTemplate_en,18-19
33,GRIB2_Template_4_77_ProductDefinitionTemplate_en,18-19
33,GRIB2_Template_4_78_ProductDefinitionTemplate_en,18-19
33,GRIB2_Template_4_79_ProductDefinitionTemplate_en,18-19
33,GRIB2_Template_4_8_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_80_ProductDefinitionTemplate_en,40-41
33,GRIB2_Template_4_81_ProductDefinitionTemplate_en,40-41
33,GRIB2_Template_4_82_ProductDefinitionTemplate_en,29-30
33,GRIB2_Template_4_83_ProductDefinitionTemplate_en,29-30
33,GRIB2_Template_4_84_ProductDefinitionTemplate_en,29-30
33,GRIB2_Template_4_85_ProductDefinitionTemplate_en,28-29
33,GRIB2_Template_4_86_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_87_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_9_ProductDefinitionTemplate_en,15-16
33,GRIB2_Template_4_91_ProductDefinitionTemplate_en,15-16
36,GRIB2_Template_4_57_ProductDefinitionTemplate_en,14-15
36,GRIB2_Template_4_58_ProductDefinitionTemplate_en,14-15
36,GRIB2_Template_4_67_ProductDefinitionTemplate_en,14-15
36,GRIB2_Template_4_68_ProductDefinitionTemplate_en,14-15
45,GRIB2_Template_3_0_GridDefinitionTemplate_en,64-67
45,GRIB2_Template_3_0_GridDefinitionTemplate_en,68-71
45,GRIB2_Template_3_40_GridDefinitionTemplate_en,64-67
46,GRIB2_Template_3_90_GridDefinitionTemplate_en,65-68
48,GRIB2_Template_5_42_DataRepresentationTemplate_en,22
50,GRIB2_Template_3_61_GridDefinitionTemplate_en,109–112
51,GRIB2_Template_3_20_GridDefinitionTemplate_en,52-55
58,GRIB2_Template_4_55_ProductDefinitionTemplate_en,13
58,GRIB2_Template_4_55_ProductDefinitionTemplate_en,14
58,GRIB2_Template_4_55_ProductDefinitionTemplate_en,15
58,GRIB2_Template_4_55_ProductDefinitionTemplate_en,16
58,GRIB2_Template_4_55_ProductDefinitionTemplate_en,17
58,GRIB2_Template_4_56_ProductDefinitionTemplate_en,13
58,GRIB2_Template_4_56_ProductDefinitionTemplate_en,14
58,GRIB2_Template_4_56_ProductDefinitionTemplate_en,15
58,GRIB2_Template_4_56_ProductDefinitionTemplate_en,16
58,GRIB2_Template_4_56_ProductDefinitionTemplate_en,17
58,GRIB2_Template_4_59_ProductDefinitionTemplate_en,13
58,GRIB2_Template_4_59_ProductDefinitionTemplate_en,14
58,GRIB2_Template_4_59_ProductDefinitionTemplate_en,15
58,GRIB2_Template_4_59_ProductDefinitionTemplate_en,16
58,GRIB2_Template_4_59_ProductDefinitionTemplate_en,17
58,GRIB2_Template_4_62_ProductDefinitionTemplate_en,13
58,GRIB2_Template_4_62_ProductDefinitionTemplate_en,14
58,GRIB2_Template_4_62_ProductDefinitionTemplate_en,15
58,GRIB2_Template_4_62_ProductDefinitionTemplate_en,16
58,GRIB2_Template_4_62_ProductDefinitionTemplate_en,17
58,GRIB2_Template_4_63_ProductDefinitionTemplate_en,13
58,GRIB2_Template_4_63_ProductDefinitionTemplate_en,14
58,GRIB2_Template_4_63_ProductDefinitionTemplate_en,15
58,GRIB2_Template_4_63_ProductDefinitionTemplate_en,16
58,GRIB2_Template_4_63_ProductDefinitionTemplate_en,17
60,GRIB2_Template_4_53_ProductDefinitionTemplate_en,11
60,GRIB2_Template_4_54_ProductDefinitionTemplate_en,11
62,GRIB2_Template_5_41_DataRepresentationTemplate_en,20
63,GRIB2_Template_4_1101_ProductDefinitionTemplate_en,19-22
64,GRIB2_Template_7_3_DataTemplate_en,6-ww
65,GRIB2_Template_3_5_GridDefinitionTemplate_en,49-52
65,GRIB2_Template_3_5_GridDefinitionTemplate_en,53-56
65,GRIB2_Template_3_5_GridDefinitionTemplate_en,57-60
70,GRIB2_Template_4_88_ProductDefinitionTemplate_en,36
73,GRIB2_Template_3_90_GridDefinitionTemplate_en,69-72
74,GRIB2_Template_5_40_DataRepresentationTemplate_en,23
76,GRIB2_Template_5_2_DataRepresentationTemplate_en,42
76,GRIB2_Template_7_2_DataTemplate_en,[yy+1]-zz
78,GRIB2_Template_5_2_DataRepresentationTemplate_en,38-41
79,GRIB2_Template_5_2_DataRepresentationTemplate_en,36
81,GRIB2_Template_4_70_ProductDefinitionTemplate_en,14-15
81,GRIB2_Template_4_71_ProductDefinitionTemplate_en,14-15
81,GRIB2_Template_4_72_ProductDefinitionTemplate_en,14-15
81,GRIB2_Template_4_73_ProductDefinitionTemplate_en,14-15
82,GRIB2_Template_4_70_ProductDefinitionTemplate_en,12-13
82,GRIB2_Template_4_71_ProductDefinitionTemplate_en,12-13
82,GRIB2_Template_4_72_ProductDefinitionTemplate_en,12-13
82,GRIB2_Template_4_73_ProductDefinitionTemplate_en,12-13
83,GRIB2_Template_5_42_DataRepresentationTemplate_en,20
84,GRIB2_Template_5_40_DataRepresentationTemplate_en,20
85,GRIB2_Template_3_4_GridDefinitionTemplate_en,(ii+1)-jj
85,GRIB2_Template_3_4_GridDefinitionTemplate_en,49-ii
86,GRIB2_Template_3_101_GridDefinitionTemplate_en,19
87,GRIB2_Template_3_40_GridDefinitionTemplate_en,68-71
95,GRIB2_Template_4_9_ProductDefinitionTemplate_en,68-71
96,GRIB2_Template_4_8_ProductDefinitionTemplate_en,55-58
97,GRIB2_Template_4_12_ProductDefinitionTemplate_en,57-60
97,GRIB2_Template_4_42_ProductDefinitionTemplate_en,57-60
98,GRIB2_Template_4_34_ProductDefinitionTemplate_en,(47+11NB+12(i-1))-(50+11NB+12(i-1))
99,GRIB2_Template_4_11_ProductDefinitionTemplate_en,58-61
99,GRIB2_Template_4_61_ProductDefinitionTemplate_en,65-68
99,GRIB2_Template_4_78_ProductDefinitionTemplate_en,58-61
100,GRIB2_Template_4_43_ProductDefinitionTemplate_en,60-63
101,GRIB2_Template_4_62_ProductDefinitionTemplate_en,61-64
101,GRIB2_Template_4_79_ProductDefinitionTemplate_en,61-64
102,GRIB2_Template_4_73_ProductDefinitionTemplate_en,63-66
103,GRIB2_Template_4_63_ProductDefinitionTemplate_en,64-67
104,GRIB2_Template_4_46_ProductDefinitionTemplate_en,68-71
105,GRIB2_Template_4_82_ProductDefinitionTemplate_en,69-72
105,GRIB2_Template_4_83_ProductDefinitionTemplate_en,72-75
105,GRIB2_Template_4_91_ProductDefinitionTemplate_en,(68+12(NC-1))-(71+12(NC-1))
106,GRIB2_Template_4_72_ProductDefinitionTemplate_en,60-63
107,GRIB2_Template_4_47_ProductDefinitionTemplate_en,71-74
107,GRIB2_Template_4_85_ProductDefinitionTemplate_en,71-74
108,GRIB2_Template_4_14_ProductDefinitionTemplate_en,85-88
109,GRIB2_Template_4_13_ProductDefinitionTemplate_en,89-92
110,GRIB2_Template_4_67_ProductDefinitionTemplate_en,(64+5Np)-(67+5Np)
110,GRIB2_Template_4_68_ProductDefinitionTemplate_en,(67+5Np)-(70+5Np)
110,GRIB2_Template_4_84_ProductDefinitionTemplate_en,72-75
111,GRIB2_Template_4_10_ProductDefinitionTemplate_en,19-22
111,GRIB2_Template_4_11_ProductDefinitionTemplate_en,19-22
111,GRIB2_Template_4_12_ProductDefinitionTemplate_en,19-22
111,GRIB2_Template_4_13_ProductDefinitionTemplate_en,19-22
111,GRIB2_Template_4_14_ProductDefinitionTemplate_en,19-22
111,GRIB2_Template_4_34_ProductDefinitionTemplate_en,19-22
111,GRIB2_Template_4_42_ProductDefinitionTemplate_en,21-24
111,GRIB2_Template_4_43_ProductDefinitionTemplate_en,21-24
111,GRIB2_Template_4_46_ProductDefinitionTemplate_en,32-35
111,GRIB2_Template_4_47_ProductDefinitionTemplate_en,32-35
111,GRIB2_Template_4_61_ProductDefinitionTemplate_en,19-22
111,GRIB2_Template_4_62_ProductDefinitionTemplate_en,25-28
