row #,codeTable,template,octet,noteAppliesTo,noteID-PDF,noteGitHub,myComment
1001,1.6,GRIB2_Template_1_0_IdentificationTemplate_en,24,octet,n/a,(see Code table 1.6),
1004,1.6,GRIB2_Template_1_2_IdentificationTemplate_en,24,octet,n/a,(see Code table 1.6),
1007,3.2,GRIB2_Template_3_0_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1039,3.2,GRIB2_Template_3_4_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1059,3.2,GRIB2_Template_3_10_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1066,3.2,GRIB2_Template_3_12_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1070,3.2,GRIB2_Template_3_20_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1081,3.2,GRIB2_Template_3_30_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1091,3.2,GRIB2_Template_3_31_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1102,3.2,GRIB2_Template_3_40_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1134,3.6,GRIB2_Template_3_50_GridDefinitionTemplate_en,27,octet,n/a,(see Code table 3.6),
1135,3.7,GRIB2_Template_3_50_GridDefinitionTemplate_en,28,octet,n/a,(see Code table 3.7),
1143,4.1,GRIB2_Template_4_0_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1144,4.2,GRIB2_Template_4_0_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1145,4.3,GRIB2_Template_4_0_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1147,4.4,GRIB2_Template_4_0_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1148,4.5,GRIB2_Template_4_0_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1149,4.5,GRIB2_Template_4_0_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1150,4.1,GRIB2_Template_4_1_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1151,4.2,GRIB2_Template_4_1_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1152,4.3,GRIB2_Template_4_1_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1154,4.4,GRIB2_Template_4_1_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1155,4.5,GRIB2_Template_4_1_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1156,4.5,GRIB2_Template_4_1_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1157,4.6,GRIB2_Template_4_1_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.6),
1158,4.1,GRIB2_Template_4_2_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
