file,table,association,noteID
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.0.2,37,6
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.0.2,47,79
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.0.2,48,80
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.0.20,1,5
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.0.20,59,20
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.0.4,50,88
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.0.4,51,24
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.0.4,54,69
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.0.6,17,4
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.0.6,47,11
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.0.6,50,49
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.1.0,table,25
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.1.0,table,73
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.1.0,table,77
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.10.0,table,52
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.10.2,9,57
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.10.3,7,21
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.10.4,17,17
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.10.4,25,22
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.2.0,2,8
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.2.0,38,51
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.2.0,6,90
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.2.0,9,3
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.2.4,4,87
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.2.5,0,26
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.20.0,2,53
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.3.1,27,98
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.3.1,29,114
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.3.2,table,70
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.3.5,0,106
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.3.5,1,82
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.3.5,2,81
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.3.5,3,83
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.3.6,0,101
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.3.6,1,113
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.3.6,2,103
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.3.6,3,112
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.3.6,4,102
GRIB2_CodeFlag_4_2_CodeTable_en.csv,4.2.3.6,5,111
GRIB2_CodeFlag_4_203_CodeTable_en.csv,4.203,table,38
GRIB2_CodeFlag_4_240_CodeTable_en.csv,4.240,1,122
GRIB2_CodeFlag_4_3_CodeTable_en.csv,4.3,12,13
GRIB2_CodeFlag_4_3_CodeTable_en.csv,4.3,20,29
GRIB2_CodeFlag_4_3_CodeTable_en.csv,4.3,21,61
GRIB2_CodeFlag_4_5_CodeTable_en.csv,4.5,115,75
GRIB2_CodeFlag_4_5_CodeTable_en.csv,4.5,150,84
GRIB2_CodeFlag_4_5_CodeTable_en.csv,4.5,151,100
GRIB2_CodeFlag_4_5_CodeTable_en.csv,4.5,152,99
GRIB2_CodeFlag_4_5_CodeTable_en.csv,4.5,169,89
GRIB2_CodeFlag_4_5_CodeTable_en.csv,4.5,170,18
GRIB2_CodeFlag_4_5_CodeTable_en.csv,4.5,table,54
GRIB2_CodeFlag_4_5_CodeTable_en.csv,4.5,table,55
GRIB2_CodeFlag_4_5_CodeTable_en.csv,4.5,table,86
GRIB2_CodeFlag_4_7_CodeTable_en.csv,4.7,5,67
GRIB2_CodeFlag_4_7_CodeTable_en.csv,4.7,8,63
GRIB2_CodeFlag_4_7_CodeTable_en.csv,4.7,9,64
GRIB2_CodeFlag_4_9_CodeTable_en.csv,4.9,6,7
GRIB2_CodeFlag_4_9_CodeTable_en.csv,4.9,6,9
