row #,flagTable,template,octet,noteAppliesTo,noteID-PDF,noteGitHub,myComment
1011,3.3,GRIB2_Template_3_0_GridDefinitionTemplate_en,55,octet,n/a,(see Flag table 3.3),
1018,3.4,GRIB2_Template_3_0_GridDefinitionTemplate_en,72,octet,n/a,(flags - see Flag table 3.4),
1042,3.3,GRIB2_Template_3_4_GridDefinitionTemplate_en,47,octet,n/a,(see Flag table 3.3 and Note 2),
1044,3.4,GRIB2_Template_3_4_GridDefinitionTemplate_en,48,octet,n/a,(flags - see Flag table 3.4),
1060,3.3,GRIB2_Template_3_10_GridDefinitionTemplate_en,47,octet,n/a,(see Flag table 3.3),
1061,3.4,GRIB2_Template_3_10_GridDefinitionTemplate_en,60,octet,n/a,(flags - see Flag table 3.4),
1067,3.3,GRIB2_Template_3_12_GridDefinitionTemplate_en,47,octet,n/a,(see Flag table 3.3),
1068,3.4,GRIB2_Template_3_12_GridDefinitionTemplate_en,60,octet,n/a,(flags - see Flag table 3.4),
1071,3.3,GRIB2_Template_3_20_GridDefinitionTemplate_en,47,octet,n/a,(see Flag table 3.3 and Note 1),
1076,3.5,GRIB2_Template_3_20_GridDefinitionTemplate_en,64,octet,n/a,(see Flag table 3.5),
1077,3.4,GRIB2_Template_3_20_GridDefinitionTemplate_en,65,octet,n/a,(see Flag table 3.4),
1082,3.3,GRIB2_Template_3_30_GridDefinitionTemplate_en,47,octet,n/a,(see Flag table 3.3),
1085,3.5,GRIB2_Template_3_30_GridDefinitionTemplate_en,64,octet,n/a,(see Flag table 3.5),
1086,3.4,GRIB2_Template_3_30_GridDefinitionTemplate_en,65,octet,n/a,(see Flag table 3.4),
1092,3.3,GRIB2_Template_3_31_GridDefinitionTemplate_en,47,octet,n/a,(see Flag table 3.3),
1095,3.5,GRIB2_Template_3_31_GridDefinitionTemplate_en,64,octet,n/a,(see Flag table 3.5),
1096,3.4,GRIB2_Template_3_31_GridDefinitionTemplate_en,65,octet,n/a,(see Flag table 3.4),
1107,3.3,GRIB2_Template_3_40_GridDefinitionTemplate_en,55,octet,n/a,(see Flag table 3.3),
1113,3.4,GRIB2_Template_3_40_GridDefinitionTemplate_en,72,octet,n/a,(flags - see Flag table 3.4),
2115,3.9,GRIB2_Template_3_100_GridDefinitionTemplate_en,33,octet,n/a,(flags - see Flag table 3.9),
2116,3.1,GRIB2_Template_3_100_GridDefinitionTemplate_en,34,octet,n/a,(flags - see Flag table 3.10),
2124,3.3,GRIB2_Template_3_110_GridDefinitionTemplate_en,47,octet,n/a,(see Flag table 3.3),
2125,3.4,GRIB2_Template_3_110_GridDefinitionTemplate_en,57,octet,n/a,(see Flag table 3.4),
2128,3.4,GRIB2_Template_3_120_GridDefinitionTemplate_en,39,octet,n/a,(flags - see Flag table 3.4),
2130,3.3,GRIB2_Template_3_140_GridDefinitionTemplate_en,55,octet,n/a,(see Flag table 3.3),
2138,3.4,GRIB2_Template_3_1000_GridDefinitionTemplate_en,51,octet,n/a,(flags - see Flag table 3.4),
2148,3.4,GRIB2_Template_3_1100_GridDefinitionTemplate_en,51,octet,n/a,(flags - see Flag table 3.4),
2170,3.3,GRIB2_Template_3_90_GridDefinitionTemplate_en,47,octet,n/a,(see Flag table 3.3),
