"No","Title_en","SubTitle_en","CodeFlag","Value","MeaningParameterDescription_en","Note_en","UnitComments_en","Status"
1.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"0",,"Meteorological products",,,"Operational"
2.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"1",,"Hydrological products",,,"Operational"
3.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"2",,"Land surface products",,,"Operational"
4.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"3",,"Space products",,,"Operational"
5.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"4-9",,"Reserved",,,"Operational"
6.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"10",,"Oceanographic products",,,"Operational"
7.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"11-191",,"Reserved",,,"Operational"
8.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"192-254",,"Reserved for local use",,,"Operational"
9.00,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"255",,"Missing",,,"Operational"
10.00,"Code table 1.0 - GRIB master tables version number",,"0",,"Experimental",,,"Deprecated"
11.00,"Code table 1.0 - GRIB master tables version number",,"1",,"Version implemented on 7 November 2001",,,"Deprecated"
12.00,"Code table 1.0 - GRIB master tables version number",,"2",,"Version implemented on 4 November 2003",,,"Deprecated"
13.00,"Code table 1.0 - GRIB master tables version number",,"3",,"Version implemented on 2 November 2005",,,"Deprecated"
14.00,"Code table 1.0 - GRIB master tables version number",,"4",,"Version implemented on 7 November 2007",,,"Deprecated"
15.00,"Code table 1.0 - GRIB master tables version number",,"5",,"Version implemented on 4 November 2009",,,"Deprecated"
16.00,"Code table 1.0 - GRIB master tables version number",,"6",,"Version implemented on 15 September 2010",,,"Deprecated"
17.00,"Code table 1.0 - GRIB master tables version number",,"7",,"Version implemented on 4 May 2011",,,"Deprecated"
18.00,"Code table 1.0 - GRIB master tables version number",,"8",,"Version implemented on 2 November 2011",,,"Deprecated"
19.00,"Code table 1.0 - GRIB master tables version number",,"9",,"Version implemented on 2 May 2012",,,"Deprecated"
