tableNo,tableName,subTableName,noteID,notation
4.1.4.0,Code table 4.1 - Parameter category by product discipline,Product discipline 4 - Space weather products,,
4.1.10.0,Code table 4.1 - Parameter category by product discipline,Product discipline 10 - Oceanographic products,,
4.1.20.0,Code table 4.1 - Parameter category by product discipline,Product discipline 20 - Health and socioeconomic impact,,
4.2,Code table 4.2 - Parameter number by product discipline and parameter category,,34,1
4.2,Code table 4.2 - Parameter number by product discipline and parameter category,,119,2
4.2.0.0,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 0: temperature",,
4.2.0.1,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",,
4.2.0.2,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 2: momentum",,
4.2.0.3,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",,
4.2.0.4,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",,
4.2.0.5,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",,
4.2.0.6,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",,
4.2.0.7,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",,
4.2.0.13,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 13: aerosols",107,n/a
4.2.0.14,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 14: trace gases",,
4.2.0.15,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",,
4.2.0.16,Code table 4.2 - Parameter number by product discipline and parameter category,"Product Discipline 0 - Meteorological products, parameter category 16: forecast radar imagery",41,n/a
4.2.0.17,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 17: electrodynamics",,
4.2.0.18,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",71,3
4.2.0.19,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",,
4.2.0.20,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",,
4.2.0.190,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 190: CCITT IA5 string",,
4.2.0.191,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 191: miscellaneous",,
4.2.1.0,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",25,2
4.2.1.0,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",73,1
4.2.1.0,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",77,3
4.2.1.1,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 1: hydrology probabilities",,
4.2.1.2,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",,
4.2.2.0,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",,
4.2.2.3,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",,
4.2.2.4,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",,
4.2.2.5,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 5: glaciers and inland ice",,
4.2.3.0,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",,
4.2.3.1,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",,
4.2.3.2,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",70,n/a
4.2.3.3,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 3: flight rule conditions",,
4.2.3.4,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",,
4.2.3.5,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 5: sea-surface temperature",,
4.2.3.6,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 6: solar radiation",,
4.2.4.0,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 0: temperature",,
4.2.4.1,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 1: momentum",,
4.2.4.2,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",,
4.2.4.3,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 3: electric and magnetic fields",,
4.2.4.4,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 4: energetic particles",,
4.2.4.5,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 5: waves",,
4.2.4.6,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 6: solar electromagnetic emissions",,
