ORDER,tableNo. ,tableName,subTableName,noteID,notation
1,0.0.0.0,"Code table 0.0 – Discipline of processed data in the GRIB message, number of GRIB Master table",,,
2,1.0.0.0,Code table 1.0 – GRIB master tables version number,,108,n/a
3,1.1.0.0,Code table 1.1 – GRIB local tables version number,,,
4,1.2.0.0,Code table 1.2 – Significance of reference time,,,
5,1.3.0.0,Code table 1.3 – Production status of data,,,
6,1.4.0.0,Code table 1.4 – Type of data,,28,n/a
7,1.5.0.0,Code table 1.5 – Identification template number,,,
8,1.6.0.0,Code table 1.6 – Type of calendar,,,
9,3.0.0.0,Code table 3.0 – Source of grid definition,,,
10,3.1.0.0,Code table 3.1 – Grid definition template number,,,
11,3.2.0.0,Code table 3.2 – Shape of the reference system,,,
12,3.3.0.0,Flag table 3.3 – Resolution and component flags,,,
13,3.4.0.0,Flag table 3.4 – Scanning mode,,32,(6)
14,3.4.0.0,Flag table 3.4 – Scanning mode,,44,(5)
15,3.4.0.0,Flag table 3.4 – Scanning mode,,56,(1)
16,3.4.0.0,Flag table 3.4 – Scanning mode,,58,(7)
17,3.4.0.0,Flag table 3.4 – Scanning mode,,59,(3)
18,3.4.0.0,Flag table 3.4 – Scanning mode,,65,(2)
19,3.5.0.0,Flag table 3.5 – Projection centre,,66,(4)
20,3.6.0.0,Code table 3.6 – Spectral data representation type,,,
21,3.7.0.0,Code table 3.7 – Spectral data representation mode,,,
22,3.8.0.0,Code table 3.8 – Grid point position,,,
23,3.9.0.0,Flag table 3.9 – Numbering order of diamonds as seen from the corresponding pole,,,
24,3.10.0.0,Flag table 3.10 – Scanning mode for one diamond,,,
25,3.11.0.0,Code table 3.11 – Interpretation of list of numbers at end of section 3,,,
26,3.15.0.0,Code table 3.15 – Physical meaning of vertical coordinate,,,
27,3.20.0.0,Code table 3.20 – Type of horizontal line,,,
28,3.21.0.0,Code table 3.21 – Vertical dimension coordinate values definition,,,
29,3.25.0.0,Code table 3.25 – Type of bi-Fourier truncation,,,
30,4.0.0.0,Code table 4.0 – Product definition template number,,,
31,4.1.0.0,Code table 4.1 – Parameter category by product discipline,,118,n/a
32,4.1.0.0,Code table 4.1 – Parameter category by product discipline,Product discipline 0 – Meteorological products,46,n/a
33,4.1.1.0,Code table 4.1 – Parameter category by product discipline,Product discipline 1 – Hydrological products,,
34,4.1.2.0,Code table 4.1 – Parameter category by product discipline,Product discipline 2 – Land surface products,,
35,4.1.3.0,Code table 4.1 – Parameter category by product discipline,"Product discipline 3 – Satellite remote sensing products (formerly ""Space products"")",,
36,4.1.4.0,Code table 4.1 – Parameter category by product discipline,Product discipline 4 – Space weather products,,
37,4.1.10.0,Code table 4.1 – Parameter category by product discipline,Product discipline 10 – Oceanographic products,,
38,4.1.20.0,Code table 4.1 – Parameter category by product discipline,Product discipline 20 – Health and socioeconomic impact,,
39,4.2.0.0,Code table 4.2 – Parameter number by product discipline and parameter category,,34,(1)
40,4.2.0.0,Code table 4.2 – Parameter number by product discipline and parameter category,,119,(2)
41,4.2.0.0,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 0: temperature",,
42,4.2.0.1,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 1: moisture",,
43,4.2.0.2,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 2: momentum",,
44,4.2.0.3,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 3: mass",,
45,4.2.0.4,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 4: short-wave radiation",,
46,4.2.0.5,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 5: long-wave radiation",,
47,4.2.0.6,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 6: cloud",,
48,4.2.0.7,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 7: thermodynamic stability indices",,
49,4.2.0.13,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 13: aerosols",107,n/a
50,4.2.0.14,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 14: trace gases",,
51,4.2.0.15,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 15: radar",,
52,4.2.0.16,Code table 4.2 – Parameter number by product discipline and parameter category,"Product Discipline 0 – Meteorological products, parameter category 16: forecast radar imagery",41,n/a
53,4.2.0.17,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 17: electrodynamics",,
54,4.2.0.18,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 18: nuclear/radiology",71,(3)
