templateNo,templateName,noteID,notation
1.0,Identification template 1.0 - calendar definition,,
1.1,Identification template 1.1 - paleontological offset,122,1
1.1,Identification template 1.1 - paleontological offset,139,2
1.2,Identification template 1.2 - calendar definition and paleontological offset,122,1
1.2,Identification template 1.2 - calendar definition and paleontological offset,139,2
3.0,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",5,4
3.0,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",41,6
3.1,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",136,2
3.10,Grid definition template 3.10 - Mercator,49,1
3.10,Grid definition template 3.10 - Mercator,5,3
3.100,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Part B, GRIB Attachment I)",18,1
3.100,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Part B, GRIB Attachment I)",77,3
3.100,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Part B, GRIB Attachment I)",90,2
3.100,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Part B, GRIB Attachment I)",118,4
3.1000,Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal,5,2
3.1000,Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal,130,3
3.101,Grid definition template 3.101 - general unstructured grid,,
3.110,Grid definition template 3.110 - equatorial azimuthal equidistant projection,5,n/a
3.1100,Grid definition template 3.1100 - Hovmöller diagram grid with points equally spaced on the horizontal,5,2
3.1100,Grid definition template 3.1100 - Hovmöller diagram grid with points equally spaced on the horizontal,130,3
3.120,Grid definition template 3.120 - azimuth-range projection,,
3.1200,Grid definition template 3.1200 - time section grid,130,n/a
3.13,Grid definition template 3.13 - Mercator with modelling subdomains definition,,
3.140,Grid definition template 3.140 - Lambert azimuthal equal area projection,,
3.2,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)",117,2
3.20,Grid definition template 3.20 - polar stereographic projection,11,4
3.20,Grid definition template 3.20 - polar stereographic projection,5,5
3.23,Grid definition template 3.23 - Polar stereographic with modelling subdomains definition,,
3.3,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",136,2
3.3,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",117,3
3.30,Grid definition template 3.30 - Lambert conformal,114,3
3.30,Grid definition template 3.30 - Lambert conformal,51,4
